name,address,price,psf,description,bedroom,bathroom,carpark
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 2,000",(RM 1.72 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.  •  Partly furnished",3,2,1
"Oasis, Ipoh","Ipoh, Perak","RM 1,600",(RM 1.54 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,040 sq. ft.  •  Fully furnished",3,2,1
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 2,500",(RM 2.15 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.  •  Unfurnished",4,3,2
"Seven Thompson, Ipoh","Ipoh, Perak","RM 2,750",(RM 1.62 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,700 sq. ft.  •  Fully furnished",3,3,2
"Rumah Pangsa Bercham, Ipoh","Ipoh, Perak",RM 500,(RM 0.91 per sq. ft.),Flat | Intermediate  •  Built-up : 550 sq. ft.  •  Unfurnished,2,1,1
"bercham, Ipoh","Ipoh, Perak","RM 1,800",(RM 1.2 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,500 sq. ft.",4,3,
Ipoh,"Ipoh, Perak","RM 1,800",(RM 1.13 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,600 sq. ft.",4,4,
"Tasek, Ipoh","Ipoh, Perak","RM 1,300",(RM 0.93 per sq. ft.),"1-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Fully furnished",3,2,2
Ipoh,"Ipoh, Perak",RM 900,(RM 0.64 per sq. ft.),"1-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Unfurnished",3,2,
Ipoh,"Ipoh, Perak","RM 1,300",(RM 0.93 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",4,2,
"GARDEN EAST, Ipoh","Ipoh, Perak","RM 1,500",(RM 1 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,500 sq. ft.",4,2,
"Sky Garden Residence, Ipoh","Ipoh, Perak","RM 1,000",(RM 1 per sq. ft.),"Apartment  •  Built-up : 1,000 sq. ft.",3,2,
"Bercham,Ipoh Garden East, Ayer Tawar","Ayer Tawar, Perak","RM 1,800",(RM 1.09 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,650 sq. ft.  •  Fully furnished",4,3,3
"D'Festivo Residences, Ipoh","Ipoh, Perak","RM 23,000",(RM 25.56 per sq. ft.),Condominium  •  Built-up : 900 sq. ft.,2,2,1
"Arena Kepayang Putra, Fair Park, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.25 per sq. ft.),"2.5-sty Terrace/Link House | Intermediate  •  Land area : 1,200 sq. ft.  •  Fully furnished",5,4,2
"Seven Thompson, Ipoh","Ipoh, Perak","RM 3,000",(RM 2 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,500 sq. ft.  •  Fully furnished",3+1,3,2
"Panorama Lapangan Perdana, Ipoh","Ipoh, Perak",RM 500,(RM 0.73 per sq. ft.),Flat | Intermediate  •  Built-up : 688 sq. ft.  •  Unfurnished,3,2,1
Ipoh,"Ipoh, Perak",RM 700,(RM 0.38 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,820 sq. ft.",3,2,
"Taman Saikat, Ipoh","Ipoh, Perak","RM 1,200",(RM 1.09 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,100 sq. ft.  •  Partly furnished",4,3,
"Sky Garden Residence, Ipoh","Ipoh, Perak",RM 950,(RM 1.12 per sq. ft.),Apartment  •  Built-up : 850 sq. ft.  •  Unfurnished,3,2,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,700",(RM 1.87 per sq. ft.),Condominium  •  Built-up : 910 sq. ft.  •  Fully furnished,2,2,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.65 per sq. ft.),Condominium  •  Built-up : 910 sq. ft.  •  Fully furnished,2,2,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.65 per sq. ft.),Condominium  •  Built-up : 910 sq. ft.  •  Fully furnished,2,2,2
"D'Festivo Residences, Ipoh","Ipoh, Perak","RM 2,500",(RM 2.34 per sq. ft.),"Condominium  •  Built-up : 1,070 sq. ft.  •  Fully furnished",3,2,1
"Taman Ipoh Timur, Ipoh","Ipoh, Perak","RM 1,400",(RM 1.4 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,000 sq. ft.  •  Partly furnished",3,2,
"Residensi Falim (PR1MA Falim), Ipoh","Ipoh, Perak","RM 1,200",(RM 1.34 per sq. ft.),Apartment  •  Built-up : 895 sq. ft.  •  Fully furnished,3,2,2
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 2,500",(RM 2.15 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.",3,2,2
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,800",(RM 1.38 per sq. ft.),"Condominium  •  Built-up : 1,300 sq. ft.  •  Fully furnished",3+1,3,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,600",(RM 2.67 per sq. ft.),Condominium  •  Built-up : 600 sq. ft.  •  Fully furnished,1,1,1
"Ipoh Garden, Ipoh","Ipoh, Perak",RM 900,(RM 0.9 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,000 sq. ft.",3,1,
"Taman Pakatan Jaya, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.36 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,100 sq. ft.  •  Partly furnished",3,3,
"Taman Lapangan Ria, Ipoh","Ipoh, Perak","RM 1,000",(RM 1.11 per sq. ft.),2-sty Terrace/Link House  •  Built-up : 900 sq. ft.  •  Fully furnished,3,3,
"Taman klebang Bayu, Ipoh","Ipoh, Perak",RM 950,(RM 0.86 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,100 sq. ft.",3,2,
"Pulai Height, Ipoh","Ipoh, Perak","RM 1,600",(RM 1.33 per sq. ft.),"Semi-detached House  •  Built-up : 1,200 sq. ft.",4,4,
"Pangsapuri Seri Iskandar, Seri Iskandar","Seri Iskandar, Perak",RM 600,(RM 0.67 per sq. ft.),Apartment  •  Built-up : 900 sq. ft.,3,2,2
"The Haven, Tambun","Tambun, Perak","RM 2,500",(RM 1.79 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,400 sq. ft.  •  Fully furnished",3+1,3,1
Ipoh,"Ipoh, Perak","RM 1,200",(RM 0.49 per sq. ft.),"Semi-detached House  •  Built-up : 2,450 sq. ft.",4,3,
"Tower Regency, Ipoh","Ipoh, Perak","RM 1,800",(RM 2.5 per sq. ft.),Serviced Residence  •  Built-up : 720 sq. ft.,2,2,1
"D'Festivo Residences, Ipoh","Ipoh, Perak","RM 2,300",(RM 2.57 per sq. ft.),Condominium  •  Built-up : 895 sq. ft.,2,2,
"Taman Tronoh Akasia, Tronoh","Tronoh, Perak",RM 900,(RM 0.91 per sq. ft.),1-sty Terrace/Link House | Intermediate  •  Built-up : 990 sq. ft.,3,2,2
"Bungalow House For Rent In Taman Cherry, Ipoh","Ipoh, Perak","RM 2,500",(RM 1.25 per sq. ft.),"Bungalow  •  Built-up : 2,000 sq. ft.",5,2,5
"The Haven, Tambun","Tambun, Perak","RM 3,000",(RM 2.73 per sq. ft.),"Condominium  •  Built-up : 1,100 sq. ft.",2,2,1
"3 Storey Semi D For Rent In Meru Valley, Ipoh","Ipoh, Perak","RM 7,000",(RM 1.75 per sq. ft.),"Semi-detached House  •  Built-up : 4,000 sq. ft.",6+1,5,3
"The Haven, Tambun","Tambun, Perak","RM 2,600",(RM 1.92 per sq. ft.),"Condominium  •  Built-up : 1,355 sq. ft.",3,3,1
"Pasir,Pinji, Single Storey Bungalow, Ipoh","Ipoh, Perak","RM 1,800",(RM 0.44 per sq. ft.),"Bungalow  •  Built-up : 4,050 sq. ft.",1,1,2
"Semi-D House For rent In Klebang, Ipoh","Ipoh, Perak","RM 1,500",(RM 0.42 per sq. ft.),"Semi-detached House  •  Built-up : 3,600 sq. ft.",5,4,2
"Double Storey Semi-D House \ In Klebang, Ipoh","Ipoh, Perak","RM 1,500",(RM 0.42 per sq. ft.),"Semi-detached House  •  Built-up : 3,600 sq. ft.",5,4,2
"Bercham Prima (Ipoh Kiara), Ipoh","Ipoh, Perak","RM 1,450",(RM 1.21 per sq. ft.),"Condominium  •  Built-up : 1,200 sq. ft.",3,2,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,400",(RM 1.17 per sq. ft.),"Condominium  •  Built-up : 1,200 sq. ft.",2,2,2
"Klebang House For Rent, Ipoh","Ipoh, Perak","RM 1,100",(RM 0.67 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,650 sq. ft.",4,3,
"D'Festivo Residences, Ipoh","Ipoh, Perak","RM 2,600",(RM 2.9 per sq. ft.),Condominium  •  Built-up : 897 sq. ft.,2,2,1
"Seri Tecoma, Bandar Seri Botani, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.5 per sq. ft.),"Apartment  •  Built-up : 1,000 sq. ft.",3,2,2
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 2,500",(RM 2.15 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.",3,2,2
"Ipoh Garden East, Ipoh Garden, Ipoh","Ipoh, Perak","RM 1,200",(RM 0.86 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",3,2,1
"D'Festivo Residences, Ipoh","Ipoh, Perak","RM 2,500",(RM 2.34 per sq. ft.),"Condominium  •  Built-up : 1,070 sq. ft.",3,2,1
"Seri Tecoma, Bandar Seri Botani, Ipoh","Ipoh, Perak","RM 1,600",(RM 1.45 per sq. ft.),"Apartment  •  Built-up : 1,100 sq. ft.",3,2,2
"Tasek Sq Tawas Idaman, Tasek, Ipoh","Ipoh, Perak","RM 2,500",(RM 0.56 per sq. ft.),"Semi-detached House  •  Built-up : 4,500 sq. ft.",5,4,3
"Taman Pakatan Jaya, Ipoh, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.07 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",3,3,2
"Panorama Lapangan Perdana, Ipoh","Ipoh, Perak","RM 1,000",(RM 0.71 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",4,3,
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,600",(RM 2.67 per sq. ft.),Condominium  •  Built-up : 600 sq. ft.,1,1,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,700",(RM 1.75 per sq. ft.),Condominium  •  Built-up : 969 sq. ft.,2,2,1
"Ipoh Jelapang Meru Valley Lakeview Twin Villa, Ipoh","Ipoh, Perak","RM 4,800",(RM 1.2 per sq. ft.),"Semi-detached House  •  Built-up : 4,000 sq. ft.",6,5,
"Residensi Kampung Paloh (PR1MA @ Kampung Paloh), Ipoh","Ipoh, Perak","RM 1,100",(RM 1.29 per sq. ft.),Apartment  •  Built-up : 850 sq. ft.,2,2,1
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 2,100",(RM 1.81 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.",3,2,2
"Klebang,Casa Residence, Ipoh","Ipoh, Perak",RM 900,(RM 0.9 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 1,000 sq. ft.",3,2,1
"Casa Idaman 2, Chemor","Chemor, Perak",RM 900,(RM 0.9 per sq. ft.),"Condominium  •  Built-up : 1,000 sq. ft.",3,2,1
"Ipoh Garden, Ipoh","Ipoh, Perak","RM 2,500",(RM 0.69 per sq. ft.),"Semi-detached House  •  Built-up : 3,600 sq. ft.  •  Unfurnished",5,3,
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.64 per sq. ft.),Condominium  •  Built-up : 913 sq. ft.,2,2,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.5 per sq. ft.),"Condominium  •  Built-up : 1,000 sq. ft.",2,2,1
"Bandar Baru Sri Klebang, Ipoh, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.07 per sq. ft.),"Semi-detached House  •  Built-up : 1,400 sq. ft.",4,3,2
"Bandar Baru Sri Klebang, Ipoh, Ipoh","Ipoh, Perak","RM 1,150",(RM 0.61 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,870 sq. ft.",4,3,2
"Bandar Baru Sri Klebang, Ipoh, Ipoh","Ipoh, Perak",RM 900,(RM 0.55 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,650 sq. ft.",4,3,2
"Seri Tecoma, Bandar Seri Botani, Ipoh","Ipoh, Perak","RM 1,800",(RM 1.66 per sq. ft.),"Apartment  •  Built-up : 1,086 sq. ft.",3,2,1
"Parkview Residences, Bandar Siber, Ipoh","Ipoh, Perak","RM 2,000",(RM 1.34 per sq. ft.),"Condominium  •  Built-up : 1,492 sq. ft.",4,3,2
"Taman Lapangan Ria, Ipoh, Ipoh","Ipoh, Perak","RM 1,000",(RM 0.89 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,120 sq. ft.",3,3,2
"Taman Saikat, Gunung Rapat, Ipoh","Ipoh, Perak","RM 1,200",(RM 0.78 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,540 sq. ft.",4,3,2
"Taman Saikat, Gunung Rapat, Ipoh","Ipoh, Perak","RM 1,200",(RM 0.78 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,540 sq. ft.",4,3,2
"Pulai Height, Semi D, Ipoh","Ipoh, Perak","RM 1,600",(RM 0.57 per sq. ft.),"Semi-detached House  •  Built-up : 2,800 sq. ft.",4,4,2
"Regency Terrace, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.22 per sq. ft.),"Condominium  •  Built-up : 1,227 sq. ft.",3,3,1
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 3,500",(RM 3.01 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.",3,2,2
"Allamanda, Ipoh","Ipoh, Perak","RM 2,000",(RM 12.05 per sq. ft.),Condominium  •  Built-up : 166 sq. ft.,3,2,1
"Taman Camay At Pasir Puteh, Ipoh","Ipoh, Perak","RM 1,700",(RM 0.33 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 5,082 sq. ft.",4,3,2
"Casa Kayangan, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.58 per sq. ft.),Apartment  •  Built-up : 950 sq. ft.,3,2,2
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,400",(RM 1.75 per sq. ft.),Condominium  •  Built-up : 800 sq. ft.,2,2,2
"Double Storey Terrace House At Fair Park For Rent, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.07 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",4,3,2
"Casa Kayangan, Ipoh","Ipoh, Perak","RM 1,200",(RM 1.5 per sq. ft.),Apartment  •  Built-up : 800 sq. ft.,3,2,2
"Seri Teratai Residence, Ipoh","Ipoh, Perak","RM 7,000",(RM 1.92 per sq. ft.),"Semi-detached House | Intermediate  •  Built-up : 3,640 sq. ft.  •  Fully furnished",5,4,3
"Pengkalan Mutiara Double Storey Terrace House, Ipoh","Ipoh, Perak","RM 1,100",(RM 0.79 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",5,3,
"Gunung Rapat Double Storey Terrace House, Ipoh","Ipoh, Perak","RM 1,700",(RM 1.21 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.  •  Fully furnished",4,3,
"Meru Halaman Impiana Double Storey House, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.07 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.  •  Partly furnished",4,3,
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 1,400",(RM 1.2 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,162 sq. ft.  •  Unfurnished",3,2,2
"Regency Terrace, Ipoh","Ipoh, Perak","RM 1,350",(RM 1.13 per sq. ft.),"Condominium  •  Built-up : 1,200 sq. ft.",4,3,2
"Parkview Residences, Bandar Siber, Ipoh","Ipoh, Perak","RM 1,800",(RM 1.5 per sq. ft.),"Condominium  •  Built-up : 1,200 sq. ft.",4,3,2
"Casa Residences, Chemor","Chemor, Perak",RM 850,(RM 1 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,3,2,1
"Casa Residences, Chemor","Chemor, Perak",RM 850,(RM 1 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,3,2,1
"Scientex, Ipoh","Ipoh, Perak","RM 1,100",(RM 1.1 per sq. ft.),"Apartment  •  Built-up : 1,000 sq. ft.",3,2,2
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,800",(RM 1.38 per sq. ft.),"Condominium  •  Built-up : 1,300 sq. ft.",4,3,2
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.5 per sq. ft.),"Condominium  •  Built-up : 1,000 sq. ft.",2,2,1
"Pasir Puteh Corner Semi-D Fully Furnished, Ipoh","Ipoh, Perak","RM 2,000",(RM 0.56 per sq. ft.),"Semi-detached House | Corner lot  •  Built-up : 3,600 sq. ft.  •  Fully furnished",4,3,
Ipoh,"Ipoh, Perak","RM 1,000",(RM 0.38 per sq. ft.),"1-sty Terrace/Link House  •  Built-up : 2,600 sq. ft.",5,2,
"Pengkalan,Botani, Intan","Intan, Perak","RM 1,050",(RM 0.68 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,540 sq. ft.  •  Unfurnished",4,4,2
"Bercham Prima (Ipoh Kiara), Ipoh","Ipoh, Perak","RM 1,300",(RM 1.11 per sq. ft.),"Condominium  •  Built-up : 1,170 sq. ft.",3,2,
"Oasis, Ipoh","Ipoh, Perak","RM 1,800",(RM 1.88 per sq. ft.),Condominium | Intermediate  •  Built-up : 955 sq. ft.  •  Fully furnished,3,2,2
"Residensi Kampung Paloh (PR1MA @ Kampung Paloh), Ipoh","Ipoh, Perak",RM 900,(RM 0.92 per sq. ft.),Apartment  •  Built-up : 980 sq. ft.,3,2,1
"Ipoh Timur, Taman Ipoh, Ipoh","Ipoh, Perak",RM 600,(RM 0.88 per sq. ft.),Flat  •  Built-up : 680 sq. ft.,2,1,1
"Bercham Prima (Ipoh Kiara), Ipoh","Ipoh, Perak","RM 1,300",(RM 1.3 per sq. ft.),"Condominium  •  Built-up : 1,000 sq. ft.",3,2,1
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 2,300",(RM 1.98 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.",3,2,2
"Seri Tecoma, Bandar Seri Botani, Ipoh","Ipoh, Perak","RM 1,800",(RM 1.66 per sq. ft.),"Apartment  •  Built-up : 1,086 sq. ft.  •  Fully furnished",3,2,1
"Golf Vista Resort Homes, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.52 per sq. ft.),Condominium  •  Built-up : 988 sq. ft.  •  Fully furnished,2,2,1
"Casa Residences, Chemor","Chemor, Perak","RM 1,150",(RM 1.35 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,3,2,
"Residensi Meru Raya (PR1MA @ Meru), Ipoh","Ipoh, Perak","RM 1,350",(RM 1.35 per sq. ft.),"Apartment  •  Built-up : 1,000 sq. ft.",3,2,
"ARENA KEPAYANG PUTRA FAIR PARK, Ipoh","Ipoh, Perak","RM 1,250",(RM 0.5 per sq. ft.),"2.5-sty Terrace/Link House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Partly furnished",5,4,2
"Upper East @ Tiger Lane, Ipoh","Ipoh, Perak","RM 2,300",(RM 1.98 per sq. ft.),"Condominium  •  Built-up : 1,162 sq. ft.  •  Fully furnished",3,2,2
"The Haven, Tambun","Tambun, Perak","RM 2,000",(RM 1.67 per sq. ft.),"Condominium | End lot  •  Built-up : 1,200 sq. ft.  •  Fully furnished",3,2,1
"Meru Valley Eco Village, Taman Meru, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.5 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,000 sq. ft.  •  Fully furnished",2,2,1
"Fair Park ipoh town, Ipoh","Ipoh, Perak","RM 1,200",(RM 0.5 per sq. ft.),"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,400 sq. ft.  •  Unfurnished",3,2,2
"Chemor klebang Ria, Ipoh","Ipoh, Perak","RM 1,200",(RM 0.68 per sq. ft.),"2-sty Terrace/Link House | Intermediate  •  Built-up : 1,760 sq. ft.  •  Unfurnished",4,4,2
"Chemor Indah, Chemor","Chemor, Perak",RM 950,(RM 0.54 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 1,760 sq. ft.",4,3,2
"Prima Ipoh, Ipoh","Ipoh, Perak","RM 1,600",(RM 1.14 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,400 sq. ft.  •  Fully furnished",3+1,2,1
"Oasis, Ipoh","Ipoh, Perak","RM 1,300",(RM 1.44 per sq. ft.),Condominium  •  Built-up : 900 sq. ft.  •  Partly furnished,3,2,1
"Klebang, Ipoh","Ipoh, Perak","RM 1,000",(RM 1 per sq. ft.),"1-sty Terrace/Link House | Corner lot  •  Built-up : 1,000 sq. ft.  •  Unfurnished",3,2,
"Taman Sentosa - Pasir Puteh, Ipoh","Ipoh, Perak",RM 680,(RM 0.24 per sq. ft.),"Semi-detached House  •  Built-up : 2,800 sq. ft.",4,2,
"Casa Residences, Chemor","Chemor, Perak","RM 1,150",(RM 1.35 per sq. ft.),Condominium | Intermediate  •  Built-up : 850 sq. ft.  •  Fully furnished,3,2,1
"Residensi Meru Raya (PR1MA @ Meru), Ipoh","Ipoh, Perak","RM 1,350",(RM 1.23 per sq. ft.),"Apartment | Intermediate  •  Built-up : 1,100 sq. ft.  •  Fully furnished",3,2,2
"Klebang,Klebang Ria, Ipoh","Ipoh, Perak","RM 1,500",(RM 0.54 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 2,800 sq. ft.  •  Partly furnished",4,4,3
"Fair Park,Ipoh Garden, Ipoh","Ipoh, Perak","RM 1,200",(RM 0.5 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 2,400 sq. ft.  •  Unfurnished",3,3,3
"The Haven, Tambun","Tambun, Perak","RM 3,000",(RM 2.21 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,355 sq. ft.  •  Fully furnished",3,3,2
"Parkview Residences, Bandar Siber, Ipoh","Ipoh, Perak","RM 2,000",(RM 1.34 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,492 sq. ft.  •  Partly furnished",4,3,1
"Kinta Riverfront Hotel & Suites, Ipoh","Ipoh, Perak","RM 2,000",(RM 1.33 per sq. ft.),"Condominium  •  Built-up : 1,500 sq. ft.",3,2,3
"Tower Regency, Ipoh","Ipoh, Perak","RM 1,200",(RM 1.64 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 732 sq. ft.  •  Fully furnished,2,2,
Ipoh,"Ipoh, Perak","RM 3,800",(RM 1.58 per sq. ft.),"Bungalow | Intermediate  •  Built-up : 2,400 sq. ft.  •  Fully furnished",5,5,4
"Hillcity, Ipoh","Ipoh, Perak","RM 1,300",(RM 1.07 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,216 sq. ft.  •  Fully furnished",4,2,1
"Bercham Prima (Ipoh Kiara), Ipoh","Ipoh, Perak","RM 1,350",(RM 1.23 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,100 sq. ft.  •  Fully furnished",3,2,1
Ipoh,"Ipoh, Perak","RM 2,800",(RM 1.17 per sq. ft.),"Semi-detached House | Intermediate  •  Built-up : 2,400 sq. ft.  •  Fully furnished",5,5,4
"Klebang Chemor, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.03 per sq. ft.),"2-sty Terrace/Link House | Corner lot  •  Built-up : 1,450 sq. ft.  •  Partly furnished",4,4,2
"Bandar Baru Sri Klebang, Chemor","Chemor, Perak","RM 1,500",(RM 1.25 per sq. ft.),"Semi-detached House | Intermediate  •  Built-up : 1,200 sq. ft.  •  Partly furnished",4,3,
"Mansion Park, Ipoh","Ipoh, Perak","RM 1,100",(RM 0.34 per sq. ft.),"Semi-detached House  •  Built-up : 3,200 sq. ft.",5,3,
"Bercham East Eden, Ipoh","Ipoh, Perak","RM 1,000",(RM 0.48 per sq. ft.),"Semi-detached House | Intermediate  •  Built-up : 2,080 sq. ft.  •  Partly furnished",4,4,
"Scientex, Ipoh","Ipoh, Perak",RM 900,(RM 1.06 per sq. ft.),Apartment  •  Built-up : 850 sq. ft.,3,2,1
"Damaipuri, Taman Chateau, Ipoh","Ipoh, Perak","RM 1,800",(RM 2.12 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,2,2,2
"Scientex, Ipoh","Ipoh, Perak","RM 1,300",(RM 1.53 per sq. ft.),Apartment  •  Built-up : 850 sq. ft.,3,2,2
"Scientex, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.58 per sq. ft.),Apartment  •  Built-up : 950 sq. ft.,3,2,1
"Residensi Kampung Paloh (PR1MA @ Kampung Paloh), Ipoh","Ipoh, Perak","RM 1,200",(RM 1.2 per sq. ft.),"Apartment | Intermediate  •  Built-up : 1,000 sq. ft.  •  Fully furnished",3,2,1
"Botani Seri Teratai, Ipoh","Ipoh, Perak","RM 2,800",(RM 0.93 per sq. ft.),"Semi-detached House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Fully furnished",5,5,
"MERU MUTIARA,, IPOH, Ipoh","Ipoh, Perak","RM 2,100",(RM 0.95 per sq. ft.),"Cluster House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Fully furnished",4,3,3
"Casa Bintang Residence, Ipoh","Ipoh, Perak","RM 4,500",(RM 1.88 per sq. ft.),"Condominium | Duplex  •  Built-up : 2,400 sq. ft.  •  Fully furnished",3+1,3,2
Ipoh,"Ipoh, Perak","RM 2,800",(RM 0.7 per sq. ft.),"2-sty Terrace/Link House  •  Built-up : 4,000 sq. ft.",5,5,
"Damaipuri, Taman Chateau, Ipoh","Ipoh, Perak","RM 2,000",(RM 1 per sq. ft.),"Condominium  •  Built-up : 2,000 sq. ft.  •  Fully furnished",3+1,4,2
"Gunung Rapat, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.07 per sq. ft.),"2.5-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",4,3,
"Kepayang Oasis, Ipoh","Ipoh, Perak","RM 1,500",(RM 1.5 per sq. ft.),"Condominium  •  Built-up : 1,000 sq. ft.",3,2,1
"Tower Regency, Ipoh","Ipoh, Perak","RM 1,200",(RM 1.67 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 720 sq. ft.,2,2,1
"Casa Residences, Chemor","Chemor, Perak",RM 850,(RM 1 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,3,2,1
"The Haven, Tambun","Tambun, Perak","RM 1,700",(RM 1.76 per sq. ft.),Condominium  •  Built-up : 967 sq. ft.  •  Fully furnished,2,2,1
"Sky Garden Residence, Ipoh","Ipoh, Perak","RM 1,250",(RM 1.47 per sq. ft.),Apartment | Intermediate  •  Built-up : 850 sq. ft.  •  Partly furnished,3,3,1
"Casa Residences, Chemor","Chemor, Perak",RM 850,(RM 1 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,3,2,1
