name,price,psf,address,description,bedroom,bathroom,carpark
"Tiffani Kiara, Mont Kiara","RM1,250,000",(RM 553.83 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,257 sq. ft.  •  Fully furnished",3+1,4,2
"The Rainz, Bukit Jalil","RM1,100,000",(RM 620.77 per sq. ft.),"Bukit Jalil, Kuala Lumpur","Condominium  •  Built-up : 1,772 sq. ft.  •  Partly furnished",4+1,4,4
"Residensi 22, Mont Kiara","RM2,100,000",(RM 1039.6 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,020 sq. ft.  •  Fully furnished",3+1,3,2
"The Era, Dutamas","RM415,000",(RM 642.41 per sq. ft.),"Dutamas, Kuala Lumpur",Serviced Residence  •  Built-up : 646 sq. ft.  •  Partly furnished,1+1,1,1
"Laman Residen, Taman Residensi, Nova, Tasik Indah, Jalan Ipoh","RM1,390,000",(RM 330.95 per sq. ft.),"Jalan Ipoh, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 4,200 sq. ft.  •  Unfurnished",5,5,3
"U Thant, KL City","RM32,000,000",(RM 1612.25 per sq. ft.),"KL City, Kuala Lumpur","Bungalow  •  Built-up : 19,848 sq. ft.  •  Fully furnished",7+2,9,
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar","RM2,000,000",(RM 656.6 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,046 sq. ft.  •  Partly furnished",4+2,6,2
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar","RM2,050,000",(RM 584.21 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,509 sq. ft.  •  Partly furnished",4+2,6,3
"KL Traders Square, Setapak","RM458,000",(RM 487.23 per sq. ft.),"Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 940 sq. ft.  •  Fully furnished,3+1,2,2
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar","RM2,750,000",(RM 783.7 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,509 sq. ft.  •  Partly furnished",4+2,6,3
"The Pearl KLCC, KL, KLCC","RM3,900,000",(RM 981.63 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 3,973 sq. ft.  •  Partly furnished",4,6,3
"Four Seasons Place, KLCC","RM6,000,000",(RM 2444.99 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,454 sq. ft.  •  Fully furnished",3+1,4,2
"The Binjai on the Park, KL City Centre, KLCC","RM6,000,000",(RM 1864.51 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,218 sq. ft.  •  Fully furnished",4+2,4,2
"The Ritz-Carlton Residences, KLCC","RM2,850,000",(RM 1898.73 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,501 sq. ft.  •  Partly furnished",1+1,2,2
"The Ritz-Carlton Residences, KLCC","RM5,900,000",(RM 2732.75 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence | Penthouse  •  Built-up : 2,159 sq. ft.  •  Partly furnished",3+1,3,3
"Eaton Residence, KLCC","RM1,100,000",(RM 1419.35 per sq. ft.),"KLCC, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 775 sq. ft.,2,1,1
"Eaton Residence, KLCC","RM950,000",(RM 1496.06 per sq. ft.),"KLCC, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 635 sq. ft.,1,1,1
"Casaman, Desa Parkcity, Parkcity Heights, Desa ParkCity","RM5,200,000",(RM 954.48 per sq. ft.),"Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 5,448 sq. ft.  •  Partly furnished",5+1,6,4
"Casaman, Parkcity Heights, Desa ParkCity","RM5,250,000",(RM 1219.23 per sq. ft.),"Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 4,306 sq. ft.",4+1,6,4
"Casaman , Desa ParkCity","RM4,200,000",(RM 1354.84 per sq. ft.),"Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Corner lot  •  Built-up : 3,100 sq. ft.  •  Partly furnished",3+1,5,4
"Happy Garden, Jalan Kuchai Lama, Jalan Klang Lama (Old Klang Road)","RM690,000",(RM 530.77 per sq. ft.),"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,300 sq. ft.  •  Partly furnished",3,2,
"M City, Ampang","RM540,000",(RM 593.41 per sq. ft.),"Ampang, Kuala Lumpur",Serviced Residence  •  Built-up : 910 sq. ft.  •  Partly furnished,2,2,1
"The Park Sky Residence, Bukit Jalil","RM880,000",(RM 1013.82 per sq. ft.),"Bukit Jalil, Kuala Lumpur",Serviced Residence  •  Built-up : 868 sq. ft.  •  Partly furnished,2,2,1
"Legend Heights, Kepong","RM650,000",(RM 534.98 per sq. ft.),"Kepong, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,215 sq. ft.  •  Partly furnished",5,3,2
Taman Melawati,"RM660,000",(RM 550 per sq. ft.),"Taman Melawati, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,200 sq. ft.  •  Partly furnished",3,2,3
Taman Melawati,"RM660,000",(RM 550 per sq. ft.),"Taman Melawati, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,200 sq. ft.  •  Partly furnished",3,2,3
"Twy Duplex Condos, Mont Kiara","RM750,000",(RM 913.52 per sq. ft.),"Mont Kiara, Kuala Lumpur",Condominium  •  Built-up : 821 sq. ft.  •  Fully furnished,2,1,1
"Vogue Suites One, KL Eco City","RM1,200,000",(RM 1072.39 per sq. ft.),"KL Eco City, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,119 sq. ft.  •  Fully furnished",2,2,1
"Four Seasons Place, KLCC","RM2,688,888",(RM 2448.9 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,098 sq. ft.  •  Fully furnished",2+1,2,2
"Bukit Tunku, Bukit Tunku (Kenny Hills)","RM18,000,000",(RM 1714.29 per sq. ft.),"Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow  •  Built-up : 10,500 sq. ft.  •  Fully furnished",5+2,6,6
"Bukit Tunku, Bukit Tunku (Kenny Hills)","RM15,000,000",(RM 1000 per sq. ft.),"Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 15,000 sq. ft.  •  Partly furnished",6+1,7,
"Le Nouvel, KLCC","RM4,972,588",(RM 2356.68 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,110 sq. ft.  •  Fully furnished",3+1,4,2
"Le Nouvel, KLCC","RM16,000,000",(RM 3122.56 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Penthouse  •  Built-up : 5,124 sq. ft.  •  Partly furnished",2+1,3,4
"TTDI Taman Tun Dr Ismail, Taman Tun Dr Ismail","RM1,200,000",(RM 923.08 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,300 sq. ft.  •  Partly furnished",3,2,
"The Estate, Kampung Kerinchi (Bangsar South)","RM2,450,000",(RM 782.25 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,132 sq. ft.",5+2,6,4
"Dua Menjalara, Bandar Menjalara","RM1,480,000",(RM 558.91 per sq. ft.),"Bandar Menjalara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,648 sq. ft.  •  Unfurnished",4+1,5,3
"Kiara View, Sri Hartamas","RM2,700,000",(RM 495.96 per sq. ft.),"Sri Hartamas, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 5,444 sq. ft.  •  Partly furnished",5+1,6,4
"KIARA VIEW, Sri Hartamas","RM3,400,000",(RM 680.41 per sq. ft.),"Sri Hartamas, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 4,997 sq. ft.  •  Partly furnished",5+1,6,4
"Kiara View, Mont Kiara","RM2,800,000",(RM 514.33 per sq. ft.),"Mont Kiara, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 5,444 sq. ft.  •  Partly furnished",5+3,6,4
"KIARA VIEW, Sri Hartamas","RM4,000,000",(RM 808.08 per sq. ft.),"Sri Hartamas, Kuala Lumpur","Semi-detached House | Corner lot  •  Built-up : 4,950 sq. ft.  •  Partly furnished",5+1,5,6
Country Heights Damansara,"RM19,000,000",(RM 1583.33 per sq. ft.),"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 12,000 sq. ft.  •  Partly furnished",4+2,6,4
"Kuala Lumpur, Country Heights Damansara","RM25,000,000",(RM 1470.59 per sq. ft.),"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 17,000 sq. ft.",7+2,6,8
"10 Mont Kiara @ MK10, Mont Kiara","RM3,130,000",(RM 899.94 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,478 sq. ft.  •  Partly furnished",4+1,5,3
"Seni Mont Kiara, Mont Kiara","RM3,000,000",(RM 847.22 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,541 sq. ft.  •  Partly furnished",4+1,5,3
Taman Desa,"RM2,800,000",(RM 933.33 per sq. ft.),"Taman Desa, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.",3,3,2
"South Brooks, Desa ParkCity","RM1,280,000",(RM 960.24 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,333 sq. ft.  •  Partly furnished",3,2,2
"South Brooks, Desa ParkCity","RM1,050,000",(RM 1048.95 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,001 sq. ft.  •  Partly furnished",2,2,2
Taman Tun Dr Ismail,"RM1,850,000",(RM 880.95 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,100 sq. ft.",4,4,2
"Aston Kiara 3, Mont Kiara","RM800,000",(RM 527.01 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,518 sq. ft.  •  Fully furnished",4,3,2
"The Avare, KL City Centre, KLCC","RM9,360,000",(RM 1300 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | End lot  •  Built-up : 7,200 sq. ft.  •  Partly furnished",5+1,8,4
Taman Tun Dr Ismail,"RM1,700,000",(RM 809.52 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,100 sq. ft.",4,4,2
"Faber Ria, Taman Desa","RM490,000",(RM 373.19 per sq. ft.),"Taman Desa, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,313 sq. ft.",3,3,1
Taman Desa,"RM1,250,000",(RM 668.45 per sq. ft.),"Taman Desa, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,870 sq. ft.  •  Partly furnished",4,3,2
"Faber Ria, Taman Desa","RM460,000",(RM 433.96 per sq. ft.),"Taman Desa, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,060 sq. ft.  •  Partly furnished",2,2,1
"Sunway Velocity Two, Cheras","RM525,000",(RM 903.61 per sq. ft.),"Cheras, Kuala Lumpur",Serviced Residence  •  Built-up : 581 sq. ft.  •  Partly furnished,2,1,1
"Davinia, Desa ParkCity, Desa ParkCity","RM8,100,000",(RM 1157.14 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Bungalow  •  Built-up : 7,000 sq. ft.",5+1,6,4
"The Troika, KLCC","RM2,450,000",(RM 916.57 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,673 sq. ft.  •  Partly furnished",3+1,5,2
"Sky Meridien, Bandar Baru Sentul, Sentul","RM630,000",(RM 478 per sq. ft.),"Sentul, Kuala Lumpur","Serviced Residence  •  Built-up : 1,318 sq. ft.  •  Partly furnished",3+1,3,3
"Hampton Height Damansara, Country Heights Damansara","RM630,000",(RM 681.82 per sq. ft.),"Country Heights Damansara, Kuala Lumpur",Serviced Residence  •  Built-up : 924 sq. ft.  •  Partly furnished,3,2,1
"The Maple Residences, Taman Overseas Union, Jalan Klang Lama (Old Klang Road)","RM630,000",(RM 779.7 per sq. ft.),"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",Condominium | Intermediate  •  Built-up : 808 sq. ft.  •  Partly furnished,3,2,2
"Lake City, Taman Wahyu, Kepong","RM990,000",(RM 609.23 per sq. ft.),"Kepong, Kuala Lumpur","Serviced Residence  •  Built-up : 1,625 sq. ft.  •  Partly furnished",4,3,2
"River Park, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","RM650,000",(RM 754.94 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur",Condominium  •  Built-up : 861 sq. ft.  •  Partly furnished,2,2,2
"Westside Three, Desa ParkCity","RM1,600,000",(RM 1100.41 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,454 sq. ft.  •  Partly furnished",3,2,2
"Paraiso Residence @ The Earth, Bukit Jalil","RM640,000",(RM 581.29 per sq. ft.),"Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,101 sq. ft.  •  Partly furnished",3,2,2
"Arte Plus, Ampang","RM400,000",(RM 608.83 per sq. ft.),"Ampang, Kuala Lumpur",Condominium  •  Built-up : 657 sq. ft.  •  Partly furnished,2,2,2
"Arte Plus, Ampang","RM400,000",(RM 608.83 per sq. ft.),"Ampang, Kuala Lumpur",Condominium  •  Built-up : 657 sq. ft.  •  Partly furnished,2,2,2
"Residensi 22, Mont Kiara","RM2,950,000",(RM 992.26 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,973 sq. ft.  •  Partly furnished",4+1,5,3
"Agile Mont Kiara, Mont Kiara","RM940,000",(RM 773.66 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,215 sq. ft.  •  Partly furnished",3,2,2
"Alam Sutera, Bukit Jalil","RM1,866,400",(RM 200 per sq. ft.),"Bukit Jalil, Kuala Lumpur","Residential Land  •  Land area : 9,332 sq. ft.",,,
"Pavilion Hilltop, Mont Kiara","RM1,200,000",(RM 1000 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,200 sq. ft.  •  Partly furnished",3,2,2
"South Brooks, Desa ParkCity","RM1,150,000",(RM 1052.15 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,093 sq. ft.  •  Partly furnished",2+1,2,2
"South Brooks, Desa ParkCity","RM1,550,000",(RM 1009.77 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,535 sq. ft.  •  Partly furnished",3+1,3,3
"Bukit Damansara, Damansara Heights","RM7,000,000",(RM 1308.41 per sq. ft.),"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 5,350 sq. ft.  •  Partly furnished",5+1,4,
"Suasana Sentral Loft, KL Sentral","RM800,000",(RM 1 per sq. ft.),"KL Sentral, Kuala Lumpur","Condominium | End lot  •  Built-up : 800,000 sq. ft.  •  Fully furnished",2,1,1
"Seni Mont Kiara, Mont Kiara","RM3,100,000",(RM 875.46 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,541 sq. ft.",4+1,5,3
"Prima Setapak Condominium, Setapak","RM410,000",(RM 333.06 per sq. ft.),"Setapak, Kuala Lumpur","Condominium  •  Built-up : 1,231 sq. ft.  •  Fully furnished",3,2,1
"Park Seven, KLCC","RM2,700,000",(RM 961.54 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,808 sq. ft.  •  Partly furnished",3+1,4,2
"Dua Residency, KLCC","RM1,700,000",(RM 734.34 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,315 sq. ft.  •  Partly furnished",4+1,5,2
"duta Tropika, Mont Kiara","RM3,600,000",(RM 836.82 per sq. ft.),"Mont Kiara, Kuala Lumpur","Semi-detached House  •  Built-up : 4,302 sq. ft.  •  Partly furnished",5+1,5,2
"The Capers @ Sentul East, Sentul East, Sentul","RM740,000",(RM 535.84 per sq. ft.),"Sentul, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,381 sq. ft.  •  Partly furnished",3+1,4,1
"The Fennel, Sentul Selatan, Sentul","RM870,000",(RM 584.68 per sq. ft.),"Sentul, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,488 sq. ft.  •  Unfurnished",3+1,4,2
"Setia SKY Residences, KLCC","RM900,000",(RM 1115.24 per sq. ft.),"KLCC, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 807 sq. ft.  •  Fully furnished,1,1,1
"99 Residence, Batu Caves","RM450,000",(RM 390.63 per sq. ft.),"Batu Caves, Kuala Lumpur","Apartment  •  Built-up : 1,152 sq. ft.",4,3,3
"Corinthian Condominium, KLCC","RM1,590,000",(RM 883.33 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 1,800 sq. ft.",3,3,1
"Taman Pandan Indah, KL 2 Storey Terrace House, Pandan Indah","RM850,000",(RM 425 per sq. ft.),"Pandan Indah, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,000 sq. ft.",4,4,2
"Corinthian Condominium, KLCC","RM1,590,000",(RM 883.33 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 1,800 sq. ft.",3,3,1
"Taman Pandan Indah, KL 2 Storey Terrace House, Pandan Indah","RM850,000",(RM 425 per sq. ft.),"Pandan Indah, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,000 sq. ft.",4,4,2
"Sky Meridien, Bandar Baru Sentul, Sentul","RM690,000",(RM 523.52 per sq. ft.),"Sentul, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,318 sq. ft.  •  Partly furnished",4,3,3
"Sky Meridien, Bandar Baru Sentul, Sentul","RM400,000",(RM 688.47 per sq. ft.),"Sentul, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 581 sq. ft.  •  Partly furnished,1,1,1
"United Point, Segambut","RM610,000",(RM 636.74 per sq. ft.),"Segambut, Kuala Lumpur",Serviced Residence  •  Built-up : 958 sq. ft.  •  Fully furnished,3,2,2
"Sky Meridien, Bandar Baru Sentul, Sentul","RM578,000",(RM 588.59 per sq. ft.),"Sentul, Kuala Lumpur",Serviced Residence  •  Built-up : 982 sq. ft.  •  Partly furnished,3,2,2
"Laman Residen , Sri Utara Kipark Jalan Ipoh, Jalan Ipoh","RM1,550,000",(RM 387.5 per sq. ft.),"Jalan Ipoh, Kuala Lumpur","Semi-detached House  •  Built-up : 4,000 sq. ft.  •  Partly furnished",4+1,5,4
"Nidoz Residences @ Desa Petaling, Desa Petaling, KL City","RM790,000",(RM 563.08 per sq. ft.),"KL City, Kuala Lumpur","Condominium  •  Built-up : 1,403 sq. ft.  •  Partly furnished",5,3,2
"Nidoz Residences @ Desa Petaling, Desa Petaling, KL City","RM690,000",(RM 539.06 per sq. ft.),"KL City, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,280 sq. ft.  •  Partly furnished",4,2,2
"Regalia Residence, Jalan Sultan Ismail","RM900,000",(RM 679.76 per sq. ft.),"Jalan Sultan Ismail, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,324 sq. ft.  •  Partly furnished",2,2,1
"Altris Residences @ The Quartz WM, Wangsa Maju","RM360,000",(RM 557.28 per sq. ft.),"Wangsa Maju, Kuala Lumpur",Serviced Residence | Duplex  •  Built-up : 646 sq. ft.,2,2,1
Bangsar,"RM4,588,888",(RM 1797.45 per sq. ft.),"Bangsar, Kuala Lumpur","Bungalow  •  Built-up : 2,553 sq. ft.  •  Partly furnished",5,4,3
"Verve Suites, Mont Kiara","RM770,000",(RM 932.2 per sq. ft.),"Mont Kiara, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 826 sq. ft.  •  Fully furnished,2,2,2
"Neu Suites, Ampang","RM400,000",(RM 665.56 per sq. ft.),"Ampang, Kuala Lumpur",Serviced Residence  •  Built-up : 601 sq. ft.,3,2,1
"One KL, KLCC","RM4,200,000",(RM 1278.54 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Duplex  •  Built-up : 3,285 sq. ft.  •  Fully furnished",3+1,5,2
"Palmyra Bangsar, Bangsar","RM3,900,000",(RM 1074.97 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,628 sq. ft.  •  Partly furnished",4+1,6,3
"D'9 Bangsar, Bangsar","RM3,000,000",(RM 822.37 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,648 sq. ft.  •  Partly furnished",4+1,6,3
"6 Capsquare, Dang Wangi, City Centre","RM2,300,000",(RM 625 per sq. ft.),"City Centre, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,680 sq. ft.  •  Partly furnished",4+1,4,3
"Twins @ Damansara Heights, Bukit Damansara, Damansara Heights","RM1,050,000",(RM 774.34 per sq. ft.),"Damansara Heights, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,356 sq. ft.  •  Partly furnished",3,3,1
Bangsar,"RM13,500,000",(RM 1298.83 per sq. ft.),"Bangsar, Kuala Lumpur","Bungalow  •  Built-up : 10,394 sq. ft.  •  Partly furnished",5+1,6,5
"The Loft Bangsar, Bangsar","RM3,100,000",(RM 651.67 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Duplex  •  Built-up : 4,757 sq. ft.  •  Partly furnished",4+1,6,3
"One Menerung, Bukit Bandaraya, Bangsar","RM5,300,000",(RM 1636.31 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 3,239 sq. ft.  •  Partly furnished",3+1,5,2
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar","RM2,500,000",(RM 739.64 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,380 sq. ft.  •  Partly furnished",4+1,6,3
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar","RM2,300,000",(RM 680.47 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,380 sq. ft.  •  Partly furnished",4+1,6,3
"Inara, Bangsar","RM3,000,000",(RM 882.35 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,400 sq. ft.  •  Partly furnished",4+1,6,3
"Damansara Hgts’s, Bukit Tunku (Kenny Hills)","RM15,000,000",(RM 998.67 per sq. ft.),"Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 15,020 sq. ft.",6+1,8,7
"Lucky Garden, Bangsar","RM3,450,000",(RM 1150 per sq. ft.),"Bangsar, Kuala Lumpur","2-sty Terrace/Link House | Corner lot  •  Built-up : 3,000 sq. ft.  •  Partly furnished",5,4,2
"Pavilion Suites, Bukit Bintang","RM1,980,000",(RM 2757.66 per sq. ft.),"Bukit Bintang, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 718 sq. ft.  •  Fully furnished,1,1,1
"The Avare, KL City Centre, KLCC","RM9,360,000",(RM 1300 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Penthouse  •  Built-up : 7,200 sq. ft.  •  Partly furnished",5+1,6,4
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","RM830,000",(RM 701.01 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,184 sq. ft.  •  Partly furnished",4,3,2
"The Harmony, Jalan Klang Lama (Old Klang Road)","RM478,999",(RM 463.7 per sq. ft.),"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium  •  Built-up : 1,033 sq. ft.",3+1,2,2
